county,town,year,period,usegrp,numsales,ytdnumsale,medsale,ytdmedsale,fdnum,ytdfdnum,pflpnum,ytdpflpnum,fsnum,ytdfsnum
Plymouth,Abington,2000,YR,1FA,169,169,190000,190000,1,1,1,1,1,1
Plymouth,Abington,2000,YR,2FA,7,7,187000,187000,0,0,0,0,0,0
Plymouth,Abington,2000,YR,3FA,2,2,0,0,0,0,0,0,0,0
Plymouth,Abington,2000,YR,ALL,274,274,184700,184700,1,1,9,9,7,7
Plymouth,Abington,2000,YR,CND,61,61,172888,172888,0,0,0,0,0,0
Plymouth,Abington,2001,YR,1FA,128,128,221000,221000,2,2,5,5,2,2
Plymouth,Abington,2001,YR,2FA,7,7,203000,203000,1,1,0,0,0,0
Plymouth,Abington,2001,YR,3FA,5,5,259900,259900,0,0,0,0,0,0
Plymouth,Abington,2001,YR,ALL,259,259,208426,208426,4,4,9,9,13,13
Plymouth,Abington,2001,YR,CND,64,64,199403,199403,0,0,0,0,0,0
Plymouth,Abington,2002,YR,1FA,119,119,255000,255000,0,0,3,3,2,2
Plymouth,Abington,2002,YR,2FA,12,12,297150,297150,0,0,1,1,0,0
Plymouth,Abington,2002,YR,3FA,3,3,307000,307000,0,0,0,0,0,0
Plymouth,Abington,2002,YR,ALL,278,278,240500,240500,1,1,12,12,6,6
Plymouth,Abington,2002,YR,CND,92,92,224308,224308,0,0,0,0,0,0
Plymouth,Abington,2003,YR,1FA,154,154,281250,281250,0,0,3,3,1,1
Plymouth,Abington,2003,YR,2FA,6,6,332500,332500,0,0,0,0,0,0
Plymouth,Abington,2003,YR,3FA,4,4,407500,407500,0,0,0,0,0,0
Plymouth,Abington,2003,YR,ALL,318,318,280000,280000,0,0,10,10,8,8
Plymouth,Abington,2003,YR,CND,92,92,279900,279900,0,0,0,0,0,0
Plymouth,Abington,2004,YR,1FA,162,162,322250,322250,0,0,13,13,7,7
Plymouth,Abington,2004,YR,2FA,7,7,353000,353000,0,0,0,0,0,0
Plymouth,Abington,2004,YR,3FA,4,4,395000,395000,0,0,0,0,0,0
Plymouth,Abington,2004,YR,ALL,356,356,321500,321500,0,0,17,17,12,12
Plymouth,Abington,2004,YR,CND,124,124,315000,315000,0,0,0,0,0,0
Plymouth,Abington,2005,YR,1FA,145,145,349900,349900,1,1,23,23,5,5
Plymouth,Abington,2005,YR,2FA,12,12,379500,379500,0,0,1,1,1,1
Plymouth,Abington,2005,YR,3FA,4,4,439500,439500,0,0,2,2,0,0
Plymouth,Abington,2005,YR,ALL,335,335,341500,341500,1,1,34,34,6,6
Plymouth,Abington,2005,YR,CND,126,126,314250,314250,0,0,3,3,0,0
Plymouth,Abington,2006,YR,1FA,108,108,317500,317500,3,3,47,47,13,13
Plymouth,Abington,2006,YR,2FA,6,6,398750,398750,1,1,6,6,1,1
Plymouth,Abington,2006,YR,3FA,4,4,446000,446000,1,1,1,1,0,0
Plymouth,Abington,2006,YR,ALL,213,213,313000,313000,6,6,67,67,21,21
Plymouth,Abington,2006,YR,CND,55,55,305000,305000,1,1,7,7,4,4
Plymouth,Abington,2007,YR,1FA,104,104,322000,322000,9,9,56,56,17,17
Plymouth,Abington,2007,YR,2FA,10,10,359750,359750,3,3,6,6,4,4
Plymouth,Abington,2007,YR,3FA,3,3,400000,400000,0,0,1,1,0,0
Plymouth,Abington,2007,YR,ALL,233,233,305000,305000,19,19,78,78,25,25
Plymouth,Abington,2007,YR,CND,66,66,273950,273950,4,4,10,10,2,2
Plymouth,Abington,2008,YR,1FA,92,92,290000,290000,13,13,38,38,42,42
Plymouth,Abington,2008,YR,2FA,3,3,165000,165000,6,6,5,5,3,3
Plymouth,Abington,2008,YR,3FA,3,3,255000,255000,0,0,4,4,2,2
Plymouth,Abington,2008,YR,ALL,180,180,266750,266750,22,22,57,57,60,60
Plymouth,Abington,2008,YR,CND,48,48,233500,233500,3,3,8,8,8,8
Plymouth,Abington,2009,YR,1FA,118,118,250000,250000,15,15,52,52,31,31
Plymouth,Abington,2009,YR,2FA,9,9,195000,195000,2,2,2,2,2,2
Plymouth,Abington,2009,YR,3FA,2,2,0,0,1,1,0,0,2,2
Plymouth,Abington,2009,YR,ALL,225,225,235000,235000,21,21,75,75,76,76
Plymouth,Abington,2009,YR,CND,55,55,225000,225000,1,1,12,12,12,12
Plymouth,Abington,2010,YR,1FA,77,77,275000,275000,18,18,49,49,43,43
Plymouth,Abington,2010,YR,2FA,10,10,237500,237500,2,2,3,3,4,4
Plymouth,Abington,2010,YR,3FA,1,1,0,0,0,0,2,2,1,1
Plymouth,Abington,2010,YR,ALL,163,163,275000,275000,24,24,66,66,88,88
Plymouth,Abington,2010,YR,CND,44,44,269750,269750,1,1,12,12,26,26
Plymouth,Abington,2011,YR,1FA,114,114,259950,259950,10,10,33,33,34,34
Plymouth,Abington,2011,YR,2FA,4,4,255000,255000,0,0,1,1,0,0
Plymouth,Abington,2011,YR,3FA,0,0,0,0,0,0,1,1,2,2
Plymouth,Abington,2011,YR,ALL,194,194,245500,245500,18,18,44,44,65,65
Plymouth,Abington,2011,YR,CND,38,38,220000,220000,7,7,7,7,16,16
